Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|P12408|ATPG_NOSS1	P12408	ATPG_NOSS1	atpC	315	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase gamma chain 	3:Protein inferred from homology	52.06	1	0.999	17	17	17	100	100	100	2109125504	2109125504	2109125504	10K(304.2071), 12K(304.2071), 16K(304.2071), 1K(304.2071), 1M(15.9949), 22K(304.2071), 3C(57.0214), 4M(15.9949), 6M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	3032427.4216	8589533.4453	13030024.7434	18679690.0254	15506148.7139	10994141.8796	14749173.7048	66021170.6826	20527399.2192	9629805.7339	8009564.106	6819313.7407	5649362.3901	6689083.0271	8170629.3423	5844308.8469	5592966.8934	4372214.5105
sp|P12410|ATPF2_NOSS1	P12410	ATPF2_NOSS1	atpG	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit b' 	3:Protein inferred from homology	34.36	1	0.999	5	5	5	12	12	12	438813188	184182188	184182188	11K(304.2071), 15K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	231126.1133	1885261.3242	4901001.8242	3800200.8535	1234501.1299	451161.1118	301718.9817	278251.4902	326098.3755	329770.6606	349657.8931	379185.9517	417137.6545	606022.0254	732972.6543	591787.8853	586672.5906	479074.6572
sp|P12623|NIFS_NOSS1	P12623	NIFS_NOSS1	nifS	400	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cysteine desulfurase 	3:Protein inferred from homology	2.75	1	0.999	1	1	1	1	1	1	5044202	545363	545363	5M(15.9949), N-term(304.2071)	NA	NA	8158.2402	40833.8438	93445.9141	66968.9453	22886.7227	7977.4902	7168.0005	3807.9673	0	0	0	3015.6799	2314.4922	3431.4604	0	0	0	3624.8389
sp|P13907|PSBO_NOSS1	P13907	PSBO_NOSS1	psbO	273	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem II manganese-stabilizing polypeptide 	3:Protein inferred from homology	76.92	1	0.999	19	19	19	231	231	231	4710678400	4710678400	4710678400	10K(304.2071), 12K(304.2071), 13K(304.2071), 1C(57.0214), 1C(57.0214), 24K(304.2071), 28K(304.2071), 3C(57.0214), 6K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	55432108.012	1220462954.2168	1930056985.7988	1013857024.3164	244501915.6367	91677090.699	52982144.135	20572494.177	11879740.8287	6278493.6426	5651959.2365	5975836.2114	6172051.6503	8286625.4716	11946022.4507	11680283.7201	12810044.7111	15469309.8918
sp|P18501|HESB_NOSS1	P18501	HESB_NOSS1	hesB	123	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Protein HesB 	3:Protein inferred from homology	17.07	1	0.999	2	2	2	2	2	2	     0	     0	     0	10C(57.0214), 12C(57.0214), 14K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	290300.5625	919263.25	501271.1562	318289.4375	84217.0234	54520.3203	30906.5078	23407.0742	21429.6914	12843.2148	13712.5918	31521.5391	8762.0029	14139.4414	13468.3857	16955.127	18556.7109	17648.166
sp|P20093|PSBB_NOSS1	P20093	PSBB_NOSS1	psbB	509	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem II CP47 reaction center protein 	3:Protein inferred from homology	20.43	1	0.999	11	11	11	108	108	108	1073655376	1073655376	1073655376	10K(304.2071), 13K(304.2071), 3M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)	NA	NA	1322379.375	6238383.3921	17868451.5889	66398324.46	34612112.9229	92608798.6172	248356187.9033	92024638.7354	38550267.5972	16803196.3677	10048912.4458	6338212.9766	4980049.5386	6712740.4327	8935369.5764	8941537.5391	8561028.9611	9256033.9377
sp|P20628|NIFU_NOSS1	P20628	NIFU_NOSS1	nifU	300	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Nitrogen fixation protein NifU 	3:Protein inferred from homology	16.67	1	0.999	5	5	5	5	5	5	632809	632809	632809	11K(304.2071), 14K(304.2071), 5C(57.0214), 7K(304.2071), 8C(57.0214), 9K(304.2071), N-term(304.2071)	NA	NA	42588.1758	321981.6875	377131.4609	295895.3359	93961.4238	102707.0557	101136.1318	63458.1353	35258.0674	22026.8633	11761.5244	11706.792	23594.0327	10571.1143	19531.9336	12664.3496	15671.3916	34758.5364
sp|P20857|THIO2_NOSS1	P20857	THIO2_NOSS1	trxX	111	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Thioredoxin 2 	1:Experimental evidence at protein level	27.93	1	0.999	3	3	3	6	6	6	43603586	43603586	43603586	11K(304.2071), N-term(304.2071)	NA	NA	930610.3379	2282709.0312	1105721.3242	584168.584	177440.9595	81672.8945	44702.2236	35272.2302	22947.792	9779.5576	10184.4883	12556.7683	14544.5486	7625.6714	21234.5698	24734.4253	32497.175	78205.8618
sp|P22638|HEPA_NOSS1	P22638	HEPA_NOSS1	hepA	607	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Heterocyst differentiation ATP-binding protein HepA 	2:Experimental evidence at transcript level	8.24	1	0.999	5	5	5	5	5	5	7547312	7547312	7547312	12K(304.2071), 4M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	24064.8706	93041.0669	404976.7891	845651.8125	333860.8926	167271.9326	99909.9316	70977.2246	23517.9565	27282.7388	19262.6304	16716.3676	24939.8545	21339.3749	26181.8057	22285.3154	25399.7377	26397.8828
sp|P22639|Y2836_NOSS1	P22639	Y2836_NOSS1	alr2836	322	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Uncharacterized glycosyltransferase alr2836 	3:Protein inferred from homology	13.04	1	0.999	4	4	4	5	5	5	6859931	6859931	6859931	11K(304.2071), 13K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	51404.0122	304700.6621	1064092.2188	1287224.2344	429825.0273	213458.7188	118349.4971	69430.5977	38192.8042	25397.4058	16972.0183	25630.2864	20480.7053	20657.9583	34884.1323	28268.5791	27420.3381	38293.8
