Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	channel_126	channel_127N	channel_127C	channel_128N	channel_128C	channel_129N	channel_129C	channel_130N	channel_130C	channel_131N	channel_131C	channel_132N	channel_132C	channel_133N	channel_133C	channel_134N	channel_134C	channel_135N
sp|P05514|DBH_NOSS1	P05514	DBH_NOSS1	hanA	94	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	DNA-binding protein HU 	1:Experimental evidence at protein level	62.77	1	0.999	5	5	5	27	27	27	1463709656	1463709656	1463709656	10K(304.2071), 1M(15.9949), 22K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	136790865.8447	688072317.4219	315727411.875	74934886.3594	14380236.4082	6123766.1328	2303893.9907	1360195.5266	996296.3481	232414.1694	616031.9663	388090.8135	669412.6035	195000.894	299416.7842	293964.8459	535875.5256	1455659.0078
sp|P06514|RBS_NOSS1	P06514	RBS_NOSS1	rbcS	109	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ribulose bisphosphate carboxylase small subunit 	1:Experimental evidence at protein level	60.55	1	0.999	6	6	6	48	48	48	2946962704	2946962704	2946962704	11K(304.2071), 18K(304.2071), 2C(57.0214), 7K(304.2071), 8K(304.2071), 9C(57.0214), N-term(304.2071)	NA	NA	13382253.6069	93039648.1309	101364271.666	79154735.7227	71428294.5195	95307535.3203	75837531.3652	63103779.4229	58710455.2764	19668904.3281	9327177.8188	6414770.2527	5012304.7324	2866038.261	1991839.4099	3783824.9954	3545561.4014	11745751.8123
sp|P06540|ATPB_NOSS1	P06540	ATPB_NOSS1	atpB	482	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit beta 	3:Protein inferred from homology	64.73	1	0.999	22	22	22	415	415	415	6765574144	6765574144	6765574144	11K(304.2071), 11M(15.9949), 15M(15.9949), 16K(304.2071), 17K(304.2071), 18K(304.2071), 1M(15.9949), 22K(304.2071), 24K(304.2071), 26K(304.2071), 4M(15.9949), 5M(15.9949), 7K(304.2071), 8M(15.9949), 9M(15.9949), N-term(304.2071)	NA	NA	30044673.1233	460250427.1533	442167090.8418	189446128.5461	224887541.5293	402370298.521	713536554.8403	2383811072.6919	906709771.4624	353732705.3464	263472633.0723	209463417.994	169715235.8467	128204983.5229	145074497.2739	128985379.3708	80814783.6899	121972074.979
sp|P06542|ATPE_NOSS1	P06542	ATPE_NOSS1	atpE	137	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase epsilon chain 	3:Protein inferred from homology	34.31	1	0.999	5	5	5	31	31	31	1719700576	1719700576	1719700576	11K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	16373722.2051	40503382.5469	19508788.8496	12608184.9824	13576228.7607	14682505.3242	18441130.2217	106591931.0488	34655403.6191	11299477.604	7513429.3074	5882841.7529	5981711.5554	4325472.7686	4953887.2395	5469104.6716	4288968.5713	5072946.5298
sp|P07120|PHCB_NOSS1	P07120	PHCB_NOSS1	cpcB	173	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	C-phycocyanin beta subunit 	1:Experimental evidence at protein level	93.06	1	0.999	21	21	21	981	981	981	27581631488	27581631488	27581631488	15K(304.2071), 17K(304.2071), 18C(57.0214), 19K(304.2071), 1C(57.0214), 1M(15.9949), 21K(304.2071), 25K(304.2071), 2K(304.2071), 2M(15.9949), 3C(57.0214), 4K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	195700431.2646	4337679488.6543	6031665868.6514	5101285588.71	5607883368.6953	10508383575.5127	10214576426.7852	2839509492.9607	810166428.099	247659698.0679	142125059.4067	95679340.3528	71025122.9635	46873218.4277	59911852.4745	66992641.8542	64463080.5497	87878468.606
sp|P07121|PHCA_NOSS1	P07121	PHCA_NOSS1	cpcA	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	C-phycocyanin alpha subunit 	1:Experimental evidence at protein level	50.31	1	0.999	9	9	9	432	432	432	21268156928	21268156928	21268156928	12K(304.2071), 1M(15.9949), 2K(304.2071), 3K(304.2071), N-term(304.2071)	NA	NA	149187077.2827	2337905448.2695	2676704379.0957	2223489329.417	2456089818.9844	4054796668.4307	3537697914.0405	1140167252.7942	395637135.4785	121477197.2581	72073786.9598	51483863.5037	37856003.7721	26853502.5201	31848475.8209	27979794.5969	24648063.626	39487021.4066
sp|P07123|PYR1_NOSS1	P07123	PYR1_NOSS1	cpcC	286	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 	1:Experimental evidence at protein level	65.73	1	0.999	23	22	23	290	276	290	11123762432	10906248448	11123762432	11K(304.2071), 18K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	42315808.1882	379841579.3735	817897962.0381	1199169730.0283	1916405545.0537	3412272784.1113	2284549055.0952	1627618298.6787	754867478.8882	273141342.2173	207848054.0267	194085871.1643	218729752.9097	212630548.6169	307968188.1848	396219674.9526	383026347.184	523894694.4919
sp|P07124|PYS1_NOSS1	P07124	PYS1_NOSS1	cpcD	80	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycobilisome 8.9 kDa linker polypeptide, phycocyanin-associated, rod 	1:Experimental evidence at protein level	83.75	1	0.999	8	8	8	78	78	78	5218434688	5218434688	5218434688	1M(15.9949), 7K(304.2071), 9K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	85379212.5894	389389351.1191	591775239.8574	564873517.2061	379036157.1504	332844018.6943	330846740.959	86801499.8594	17187159.8842	5513645.0427	2932206.1077	1812309.0508	2205478.3318	1277156.137	1652067.4634	3398942.007	3512666.3687	4934881.613
sp|P07125|CPCE_NOSS1	P07125	CPCE_NOSS1	cpcE	276	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Phycocyanobilin lyase subunit alpha 	1:Experimental evidence at protein level	10.14	1	0.999	3	2	3	4	3	4	16104993	7189731	16104993	11K(304.2071), 3C(57.0214), 9M(15.9949), N-term(304.2071)	NA	NA	104695.2822	1106340.4141	1355595.3594	379134.3984	182995.3438	151561.6699	103376.6562	100430.7168	38884.5029	65736.8772	61307.4009	37662.7197	39922.2495	25366.4673	34928.0093	17328.4448	23887.9214	58858.7314
sp|P0A384|CYB6_NOSS1	P0A384	CYB6_NOSS1	petB	215	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cytochrome b6 	1:Experimental evidence at protein level	20	1	0.999	4	4	4	15	15	15	597975380	597975380	597975380	13K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	914233.5178	3922340.8037	12826427.4551	24661482.826	15285948.1523	35670231.707	21072093.2949	5518459.3667	2349787.3442	875117.1211	598253.9434	316417.8501	238989.7031	131871.5796	141673.0703	232092.2666	252432.8486	353984.3799
sp|P0A3C7|FER1_NOSS1	P0A3C7	FER1_NOSS1	petF	99	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Ferredoxin-1 	1:Experimental evidence at protein level	21.21	1	0.999	2	2	2	48	48	48	5037646568	5037646568	5037646568	10K(304.2071), 11K(304.2071), 4C(57.0214), 7C(57.0214), N-term(304.2071)	NA	NA	417688406.9297	712441154.6094	184755497.3906	42811391.8789	8889417.7188	3762114.1421	1635805.3086	803814.7175	395265.3865	226870.3313	234559.9941	285549.0547	193259.1725	67228.5696	133535.8392	156535.5532	359510.9287	359409.3992
sp|P0A3D9|FLAV_NOSS1	P0A3D9	FLAV_NOSS1	isiB	170	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Flavodoxin 	1:Experimental evidence at protein level	53.53	1	0.999	9	9	9	202	202	202	6996112128	6996112128	6996112128	11K(304.2071), 12K(304.2071), 16K(304.2071), 1K(304.2071), 20K(304.2071), 27K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	2054347895.4868	6863973057.3145	2125579733.6289	507937930.2021	100656679.8232	34559466.4326	14483978.0718	11378960.7229	2856974.5481	1367108.923	1535563.2388	713772.259	1294031.8008	530512.6301	747913.0554	1033944.8503	1115301.0808	1130910.7856
sp|P0A3S5|NU3C_NOSS1	P0A3S5	NU3C_NOSS1	ndhC	120	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	"NAD(P)H-quinone oxidoreductase subunit 3 "	3:Protein inferred from homology	9.17	1	0.999	1	1	1	7	7	7	258897884	258897884	258897884	N-term(304.2071)	NA	NA	146556.2905	974135.3516	5251984.2969	4195129.8711	1780112.4258	1295454.9727	743157.252	524428.9531	334333.793	208728.9072	241382.0547	199789.2051	180826.5322	132877.2051	180152.7568	236318.8369	245905.5137	951554.7881
sp|P0A3X7|CYC6_NOSS1	P0A3X7	CYC6_NOSS1	cytA	111	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cytochrome c6 	1:Experimental evidence at protein level	42.34	1	0.999	4	3	4	18	10	18	243594446	217459648	243594446	16K(304.2071), 17K(304.2071), 2K(304.2071), 3M(15.9949), 7K(304.2071), N-term(304.2071)	NA	NA	26979873.1094	31314131.25	13690998.4375	5172953.4883	1690305.2617	1094539.2891	674357.6436	521493.3936	427883.4014	237646.2808	350364.7729	283736.9456	221247.644	148112.5854	194431.147	232209.5068	365546.627	385495.7227
sp|P0A410|PSAC_NOSS1	P0A410	PSAC_NOSS1	psaC	81	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem I iron-sulfur center 	1:Experimental evidence at protein level	65.43	1	0.999	7	7	7	31	31	31	1767095424	1767095424	1767095424	11C(57.0214), 1C(57.0214), 2C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214), 8K(304.2071), N-term(304.2071)	NA	NA	2194367.814	10228306.877	12529095.0312	7043563.0137	4175267.7227	4908449.4854	19173725.5479	23879755.2896	18574216.2075	10391225.7993	10364298.4243	8938218.0278	8494790.8701	6703587.251	10670725.8696	14777652.3389	15254087.1851	23783206.9604
sp|P0A457|T2A1_NOSS1	P0A457	T2A1_NOSS1	avaIR	315	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Type II restriction enzyme AvaI 	4:Protein predicted	24.44	1	0.999	6	6	6	7	7	7	50001610	50001610	50001610	10K(304.2071), 14K(304.2071), 16K(304.2071), 8M(15.9949), N-term(304.2071)	NA	NA	88248.1567	274684.4043	1576838.625	1235324.1406	423118.0703	192755.1016	94273.9233	59265.2622	53601.873	33058.3303	54453.1516	39703.0693	54395.9082	32262.2744	40653.5544	32145.5305	48786.9629	58065.3345
sp|P0A4B7|RS21A_NOSS1	P0A4B7	RS21A_NOSS1	rpsU1	62	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	30S ribosomal protein S21 A 	3:Protein inferred from homology	25.81	1	0.999	2	2	2	7	7	7	226906357	226906357	226906357	7M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	845383.8281	2263799.8906	2924110.7891	1219089.1367	721828.1309	531474.1309	404815.3965	419101.0361	464346.6504	391994.0537	456438.7949	512647.707	598647.1953	1339598.4297	3683774.0781	23514558.3281	15294988.5781	12192611.4062
sp|P0A4K0|SSB1_NOSS1	P0A4K0	SSB1_NOSS1	ssb1	119	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Single-stranded DNA-binding protein 1 	3:Protein inferred from homology	75.63	1	0.999	13	13	13	32	32	32	158950864	158950864	158950864	10K(304.2071), 16K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	821572.6338	8404697.0801	23687682.3438	15902229.7461	5635836.2852	3841290.8682	2433805.3345	1401726.9116	1066090.1333	785051.3467	941885.8542	513122.6428	453806.3713	282828.5386	400667.7954	387518.916	722593.9436	721139.8999
sp|P0A4L1|THIO1_NOSS1	P0A4L1	THIO1_NOSS1	trxM1	107	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Thioredoxin 1 	3:Protein inferred from homology	67.29	1	0.999	6	6	6	67	67	67	922463392	922463392	922463392	10K(304.2071), 12K(304.2071), 16K(304.2071), 1M(15.9949), 3M(15.9949), 6M(15.9949), 9K(304.2071), N-term(304.2071), N-term(42.0106)	NA	NA	172690403.7109	207942161.9961	65526923.7461	22698862.6836	6248561.7295	4023215.9731	1905400.541	1157526.3867	741524.5024	535756.5048	622391.9309	470276.7407	515371.6426	370072.2698	464378.1356	686915.1667	783881.4048	3821547.4993
sp|P0A4U6|NTCA_NOSS1	P0A4U6	NTCA_NOSS1	ntcA	223	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Global nitrogen regulator 	1:Experimental evidence at protein level	34.53	1	0.999	6	6	6	12	12	12	11215676	11215676	11215676	2M(15.9949), 5K(304.2071), 6M(15.9949), 7M(15.9949), 9M(15.9949), N-term(304.2071)	NA	NA	140942.7036	2109794.5039	2457014.543	932795.582	434003.5762	256102.7876	118304.7898	86517.6738	63890.4878	51133.2656	54037.2749	59491.8757	60317.543	41863.9785	51142.5183	61093.271	75674.9958	159743.6228
sp|P12404|ATP6_NOSS1	P12404	ATP6_NOSS1	atpI	251	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit a 	3:Protein inferred from homology	17.13	1	0.999	3	3	3	5	5	5	28417892	28417892	28417892	10K(304.2071), 15M(15.9949), 19K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	122432.707	1438506.625	6640908.2812	4289522.4375	1612495.7031	880539.7734	251120.4746	136336.3789	126632.7852	112631.9727	120798.4844	136323.8672	145888.7656	142831.9961	187228.4258	288735.5488	225730.9238	271145.4785
sp|P12405|ATPA_NOSS1	P12405	ATPA_NOSS1	atpA	506	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit alpha 	3:Protein inferred from homology	53.16	1	0.999	23	22	23	421	404	421	9237188352	9237188352	9237188352	11K(304.2071), 12K(304.2071), 13K(304.2071), 14K(304.2071), 16M(15.9949), 23K(304.2071), 25K(304.2071), 2K(304.2071), 2M(15.9949), 5K(304.2071), 6C(57.0214), 6M(15.9949), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	22852871.7153	227398930.1616	557304562.0703	359256766.6904	316716813.562	378221889.2764	1063945818.5476	4581330449.604	1761025205.9507	621296663.7131	446848532.7158	350741059.2605	335090104.0823	275217434.8113	404880836.3601	409228319.6538	310345349.8777	375753772.8093
sp|P12406|ATPD_NOSS1	P12406	ATPD_NOSS1	atpD	183	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit delta 	3:Protein inferred from homology	58.47	1	0.999	9	9	9	30	30	30	291585120	291585120	291585120	12K(304.2071), 13K(304.2071), 14K(304.2071), 19K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	2598179.4463	30438012.2852	27057225.4727	7168673.3672	2330825.1865	1726610.7153	1307597.8381	5106834.1943	4984720.0205	3343871.9685	3395017.7129	3094205.6882	2940543.2476	2614988.7441	3216589.7627	2675375.686	2434667.6685	2487371.376
sp|P12407|ATPF_NOSS1	P12407	ATPF_NOSS1	atpF	187	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit b 	3:Protein inferred from homology	51.87	1	0.999	10	10	10	25	25	25	1342224720	1342224720	1342224720	15K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	2430131.1392	52640684.3652	120405092.3633	55072454.6182	16965644.3652	8384061.9023	3143584.5388	1739417.1086	2321685.2174	2014731.4812	2549749.4094	2386139.5552	2660593.7842	2584745.6782	3610494.8004	3884039.4316	4138111.6631	4450549.0862
sp|P12408|ATPG_NOSS1	P12408	ATPG_NOSS1	atpC	315	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase gamma chain 	3:Protein inferred from homology	62.54	1	0.999	20	20	20	116	116	116	1740544832	1740544832	1740544832	10K(304.2071), 12K(304.2071), 13K(304.2071), 16K(304.2071), 1K(304.2071), 1M(15.9949), 22K(304.2071), 23K(304.2071), 3C(57.0214), 4M(15.9949), 6M(15.9949), 8K(304.2071), N-term(304.2071)	NA	NA	4580756.717	15859675.2764	29153111.7432	29360271.1904	31545282.1582	37815176.1489	52422912.9243	348658093.8193	127837800.8975	48304827.3745	41528334.3091	34453603.9519	30708456.3857	26285491.0208	31362215.7793	27990308.1072	22012881.6978	23208727.8386
sp|P12410|ATPF2_NOSS1	P12410	ATPF2_NOSS1	atpG	163	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	ATP synthase subunit b' 	3:Protein inferred from homology	34.36	1	0.999	5	5	5	18	18	18	622529784	337609068	337609068	11K(304.2071), 15K(304.2071), 8K(304.2071), N-term(304.2071)	NA	NA	539976.8159	5805135.418	11001452.8398	5996982.5469	2390196.4277	1166863.9863	502668.3359	308833.0518	422845.8303	435166.9153	445831.676	608044.1682	603228.7239	600497.7488	795390.394	753694.2092	845167.6443	870868.7275
sp|P12623|NIFS_NOSS1	P12623	NIFS_NOSS1	nifS	400	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Cysteine desulfurase 	3:Protein inferred from homology	5.5	1	0.999	2	2	2	3	3	3	10375599	2193294	2193294	10K(304.2071), 12K(304.2071), N-term(304.2071)	NA	NA	3149.4807	59611.4961	107900.3203	74060.9453	34889.0352	31506.5332	19083.7637	8537.7646	5709.9536	0	0	2871.8003	0	0	0	0	4613.084	3122.4775
sp|P13907|PSBO_NOSS1	P13907	PSBO_NOSS1	psbO	273	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem II manganese-stabilizing polypeptide 	3:Protein inferred from homology	78.39	1	0.999	20	20	20	291	291	291	9393276416	9393276416	9393276416	10K(304.2071), 12K(304.2071), 13K(304.2071), 1C(57.0214), 1C(57.0214), 24K(304.2071), 28K(304.2071), 3C(57.0214), 6K(304.2071), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)	NA	NA	150245921.405	3292605029.7207	4484317391.5586	1381238334.9141	400908526.6528	191105701.2681	76423089.1772	35399195.4258	20350699.1101	12543322.3674	12335868.2397	12849303.3203	11140248.9644	12090856.5389	15840936.157	20374194.5435	22089880.3594	35643148.1736
sp|P18501|HESB_NOSS1	P18501	HESB_NOSS1	hesB	123	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Protein HesB 	3:Protein inferred from homology	17.07	1	0.999	2	2	2	2	2	2	6060220	6060220	6060220	10C(57.0214), 12C(57.0214), 14K(304.2071), 7K(304.2071), N-term(304.2071)	NA	NA	47405.6445	156323.5312	101703.7969	58331.0859	22162.2129	14528.1035	6889.8491	8781.3662	2389.7241	3098.9146	3466.4465	3802.4663	2908.3474	0	0	0	0	6494.7461
sp|P20093|PSBB_NOSS1	P20093	PSBB_NOSS1	psbB	509	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690	Photosystem II CP47 reaction center protein 	3:Protein inferred from homology	30.45	1	0.999	15	15	15	127	127	127	2494972672	2494972672	2494972672	10K(304.2071), 13K(304.2071), 15K(304.2071), 21K(304.2071), 22K(304.2071), 3M(15.9949), 9K(304.2071), 9M(15.9949), N-term(304.2071)	NA	NA	3120758.2329	13821425.0444	48748131.1143	118883292.5547	70015650.1943	243233241.5215	377059072.5171	170598745.0977	89929276.0171	41759540.4297	27993016.9785	19641625.498	15333324.8362	10870828.7722	15301491.2932	16918772.2373	15565796.7925	23700936.7483
